id,date,obs_type,obs_type_label,org_id,org_name,category,description,status
KRG-00018,2025-02-05,unsafe_condition,Небезопасное поведение,org_018,"ТОО ""Полевая Незабудка""",Поддержание чистоты и порядка,Тексеру кезінде көтергіш агрегаттың тазалығы өте лас. Көтергіш агрегаттың тазалығы сақталып сай жұмыс жасау керек.,resolved
KRG-00019,2025-04-29,unsafe_condition,Небезопасное действие,org_019,"ТОО ""Янтарная Хризантема""",Выполнение требований инструкций,Қауіпсіздікті сақтау.,resolved
KRG-00020,2025-08-11,safe_practice,Предложение (инициатива),org_020,"ТОО ""Тихая Камелия""",Рабочее место / Эргономика,Замечаний нет.Условия по Тб соблюдается.,not_applicable
KRG-00021,2025-04-08,unsafe_condition,Небезопасное поведение,org_021,"ТОО ""Ночная Лаванда""",Машины и оборудование,"Жұмыс жасау барысында бригада жұмыс алаңшасы бөгде заттар болмау керек, талапқа сай болу керектігін қадағалау. Жқмыс алаңшасындағы қажетсіз қондырғы мен құралдарды алып тастау",resolved
KRG-00022,2025-11-04,safe_practice,Хорошая практика,org_022,"ТОО ""Лесной Ландыш""",Трубопроводы / Подземные коммуникации,"Провёл наблюдение,  предложении нет.",not_applicable
KRG-00023,2025-05-22,unsafe_condition,Небезопасное поведение,org_023,"ТОО ""Звёздный Амариллис""",СИЗ / Средства по обеспечению безопасности,Тексеру барысында АПРС-40 жүргізуші машинист қолғапсыз жүргенін көрдім,resolved
KRG-00024,2025-01-22,unsafe_condition,Небезопасное поведение,org_024,"ТОО ""Каспийский Тюльпан""",Машины и оборудование,Тексеру кезінде жұмысшы басты қорғау каскасын кимеген. Көтергіш агрегаттың жұмыс алаңшасында бөгде заттар жатыр.,resolved
KRG-00025,2025-10-28,unsafe_condition,Опасный фактор,org_025,"ТОО ""Степная Роза""",Взрыво- и пожароопасность,Жаңа 2000 м3 қазан монтаж жұмыстары кезінде дәнекерлеу жұмысы кезінде пропан мен кислород баллоны ара қашықтығы талапқа сай қойылмаған.,resolved
KRG-00026,2025-04-22,unsafe_condition,Небезопасное условие,org_026,"ТОО ""Голубая Гортензия""",Машины и оборудование,"жұмыс жасау  барысында, бригада жұмыс алаңшасында төселген төсеніштер талапқа сай болуын қадағалау.",resolved
KRG-00027,2025-05-05,unsafe_condition,Небезопасное действие,org_027,"ТОО ""Рубиновый Мак""",Поддержание чистоты и порядка,Тексеріс уақытында АПРС-40 кілт қашақ шашылып жатұаны анықталды,resolved
KRG-00028,2025-01-20,unsafe_condition,Небезопасное поведение,org_028,"ТОО ""Северный Нарцисс""",Машины и оборудование,Тексеріс кезіндеь көтергіш агрегаттың алдында кілттері шашылып жатыр.,resolved
KRG-00029,2025-04-09,unsafe_condition,Небезопасное действие,org_029,"ТОО ""Имперская Орхидея""",СИЗ / Средства по обеспечению безопасности,Тексеріс уақытынды жүргізуші қолғапсыз жүргені байқалды,resolved
KRG-00030,2025-05-23,unsafe_condition,Небезопасное поведение,org_030,"ТОО ""Весенний Крокус""",Поддержание чистоты и порядка,"ГСМ аймақта жабай шөптер өсіп, өрт  қауіпі тудырып тұр",resolved
KRG-00031,2025-02-03,unsafe_condition,Небезопасное поведение,org_031,"ТОО ""Изумрудный Папоротник""",Вождение,Камаз АТЗ өндірістік аймақта тексеру барысында қауіпсіздік белдігін тақпаған.,resolved
KRG-00032,2025-05-23,unsafe_condition,Опасный случай,org_032,"ТОО ""Белоснежная Азалия""",Электрооборудование,№1 АҚБ аумағында жерге қосу (заземление) үзілген,resolved
KRG-00033,2025-04-24,unsafe_condition,Небезопасное поведение,org_033,"ТОО ""Алтын Бәйшешек""",Рабочее место / Эргономика,Нет данных,resolved
KRG-00034,2025-05-08,unsafe_condition,Небезопасное поведение,org_034,"ТОО ""Көктем Гүлі""",Поддержание чистоты и порядка,№5 автотізбек кезекші АПРС-40 тұрған жерге май төгілген.,resolved
KRG-00035,2025-01-05,unsafe_condition,Небезопасное поведение,org_035,"ТОО ""Жемчужная Фрезия""",Вождение,Тексеріс кезінде көтергіш агрегаттың алдыңғы тіреуіш домкраты тірелмеген.,resolved
KRG-00036,2025-02-18,unsafe_condition,Небезопасное действие,org_036,"ТОО ""Лазурный Дельфиниум""",Наряд-допуск / Оценка риска,Жұмыс жасау барысында бригада мүшелерімен нұсқама журналы талапқа сай болу керектігін қадағлау.,resolved
KRG-00037,2025-04-29,unsafe_condition,Небезопасное действие,org_037,"ТОО ""Розовый Флокс""",Выполнение требований инструкций,Қауіпсіздікті сақтау.,resolved
KRG-00038,2025-06-18,unsafe_condition,Опасный фактор,org_038,"ТОО ""Сафлоровый Рассвет""",Электрооборудование,Барсенгир  на матчте не горит освещение,resolved
KRG-00039,2025-06-05,unsafe_condition,Небезопасное поведение,org_039,"ТОО ""Медовая Астра""",Взрыво- и пожароопасность,оператор цеха №1 использовал сотовое устройство на рабочем месте,resolved
KRG-00040,2025-04-10,unsafe_condition,Небезопасное условие,org_040,"ТОО ""Тайный Бутон""",Не указано,fr,resolved
KRG-00041,2025-05-23,unsafe_condition,Небезопасное поведение,org_041,"ТОО ""Цветущий Миндаль""",Машины и оборудование,Тексеру кезінде автокөлік КАМАз АТЗ артқы жарық шамы жанбайды.,resolved
KRG-00042,2025-01-15,unsafe_condition,Небезопасное действие,org_042,"ТОО ""Полевой Клевер""",Машины и оборудование,АПРС-40 көтергіш агрегаты мұнарасы лас.,resolved
KRG-00043,2025-02-21,unsafe_condition,Небезопасное действие,org_043,"ТОО ""Огненная Георгина""",Поддержание чистоты и порядка,Жұмыс барысында бригада жұмыс алаңында штанга дұрыстап жиналмаған.,resolved
KRG-00044,2025-02-03,unsafe_condition,Небезопасное условие,org_044,"ТОО ""Сияющая Примула""",Охрана окружающей среды,оперативный техникалар тұратын орны (навес) май қалдықтары төгілген.,resolved
KRG-00045,2025-06-18,unsafe_condition,Небезопасное поведение,org_045,"ТОО ""Гармония Лилий""",Работы на высоте / Строительные леса,Қауіпсіздікті сақтау.,resolved
KRG-00046,2025-05-26,unsafe_condition,Небезопасное действие,org_046,"ТОО ""Шёлковый Пион""",СИЗ / Средства по обеспечению безопасности,Тексеру кезінде арнайы киім кимеген,resolved
KRG-00047,2025-01-25,unsafe_condition,Небезопасное поведение,org_047,"ТОО ""Японская Сакура""",Машины и оборудование,АПРС-40 көтергіш агрегаты артқы бұрылыс шамдары жанбайды.,resolved
KRG-00048,2025-06-05,unsafe_condition,Небезопасное действие,org_048,"ТОО ""Лунная Орхидея""",Переносное оборудование / Ручные инструменты,Жұмыс барысында бригада жұмыс алаңында құбырды дұрыстап жинауға ұсыныс,resolved
KRG-00049,2025-05-26,safe_practice,Хорошая практика,org_049,"ТОО ""Садовый Гиацинт""",Целостность объекта / Оборудования,ТҚҚ аумағында МАҚ операторы отыратын жердің шатырының су ағары сынғын,not_applicable
KRG-00050,2025-05-05,unsafe_condition,Небезопасное поведение,org_050,"ТОО ""Белый Лотос KZ""",СИЗ / Средства по обеспечению безопасности,Биіктікте жұмыс жасаған кезде сақтандыру белдігін ілмеген,resolved
KRG-00051,2025-10-13,unsafe_condition,Небезопасное условие,org_051,"ТОО ""Ароматный Мирт""",Поддержание чистоты и порядка,"Пожарный выход ПБ-5 заграмажден мусором, что создаёт препятствие выхода людей при НС.",open
KRG-00052,2025-06-17,unsafe_condition,Небезопасное условие,org_052,"ТОО ""Цветочный Бриз""",Перемещение грузов вручную,Собрать и вывезти б/у шпалы с пути №1,resolved
KRG-00053,2025-06-25,unsafe_condition,Опасный случай,org_053,"ТОО ""Небесная Камелия""",Работы на высоте / Строительные леса,Арнайы техника пайдаланбады,open
KRG-00054,2025-03-19,unsafe_condition,Небезопасное условие,org_054,"ТОО ""Степной Шалфей""",Электрооборудование,"Ауа-райының күрт, өзгеріп қар жауып мұз қатуына байланысты ТҚ мұнай қазанына көтеріліп түскен кезде сақ болып қоршаудан ұстауды айттым",resolved
KRG-00055,2025-01-13,safe_practice,Хорошая практика,org_055,"ТОО ""Грация Гортензии""",Поддержание чистоты и порядка,Күнделікті тазалықты сақтау,not_applicable
KRG-00056,2025-04-15,safe_practice,Предложение (инициатива),org_056,"ТОО ""Пудровая Роза""",Наряд-допуск / Оценка риска,Не было,not_applicable
KRG-00057,2025-02-26,unsafe_condition,Опасный фактор,org_057,"ТОО ""Золотой Подсолнух""",Целостность объекта / Оборудования,Эст. 79/3 стояк 92 отсутствовал страховочный крючек,resolved
KRG-00058,2025-03-25,unsafe_condition,Небезопасное условие,org_058,"ТОО ""Кристальный Ирис""",Транспортировка,ТҚ-93 тың ӨҚ-93е дейін жол жоқ,open
KRG-00059,2025-05-24,unsafe_condition,Небезопасное условие,org_059,"ТОО ""Лепесток Удачи""",Опасные вещества/сероводород,"БӨАжА аспаптарын арнайы бөлмеде, қоймада ұстау",resolved
KRG-00060,2025-04-16,unsafe_condition,Небезопасное условие,org_060,"ТОО ""Рассветная Лаванда""",Вождение,Нет данных,open
KRG-00061,2025-04-14,safe_practice,Хорошая практика,org_061,"ТОО ""Цветущий Олеандр""",Вождение,Замечаний нет,not_applicable
KRG-00062,2025-04-15,unsafe_condition,Небезопасное действие,org_062,"ТОО ""Весенний Букет""",Работы на высоте / Строительные леса,"Работник МСК работал над монтажом крыльца при въезде в паркинг КЦ. При этом, работник МСК был поднят на высоту ковшем погрузчика.",resolved
KRG-00063,2025-04-15,unsafe_condition,Небезопасное действие,org_063,"ТОО ""Флора Капитал""",Работы на высоте / Строительные леса,"Работник МСК работал над монтажом крыльца при въезде в паркинг КЦ. При этом, работник МСК был поднят на высоту ковшем погрузчика.",resolved
KRG-00064,2025-04-15,unsafe_condition,Небезопасное поведение,org_064,"ТОО ""Бархатный Тюльпан""",Вождение,"Водитель микроавтобуса перед движением не убедился, что все работники пристегнулись. При этом, у самого водителя ремень безопасности был пристегнут и он перекинул через себя ремень безопасности, тем самым нарушил правильное применение ремней безопасности при вождении транспорта.",resolved
KRG-00065,2025-03-08,safe_practice,Хорошая практика,org_001,"ТОО ""Алый Тюльпан""",Выполнение требований инструкций,Содержание весов в исправном состоянии,not_applicable
KRG-00066,2025-11-04,unsafe_condition,Небезопасное поведение,org_002,"ТОО ""Белая Роза""",Транспортировка,Жұмыс бағытын қадағалау,resolved
KRG-00067,2025-04-16,unsafe_condition,Опасный фактор,org_003,"ТОО ""Золотая Лилия""",Проскальзывание / Спотыкание / Падение,"Рядом с маршрутом, по которому сотрудники следуют к базе управления, на обочине асфальтированной дороги обнаружена выступающая металлическая проволока. Она представляет потенциальную опасность — существует риск споткнуться  и получить травму.",resolved
KRG-00068,2025-11-05,safe_practice,Хорошая практика,org_004,"ТОО ""Лавандовый Рассвет""",Поддержание чистоты и порядка,Наблюдение условия труда нв рабочем месте.,not_applicable
KRG-00069,2025-04-16,unsafe_condition,Опасный фактор,org_005,"ТОО ""Синяя Орхидея""",Проскальзывание / Спотыкание / Падение,"Рядом с маршрутом, по которому сотрудники следуют к базе управления, на обочине асфальтированной дороги обнаружена выступающая металлическая проволока. Она представляет потенциальную опасность — существует риск споткнуться и получить травму.",resolved
KRG-00070,2025-03-17,unsafe_condition,Опасный фактор,org_006,"ТОО ""Пурпурный Ирис""",Целостность объекта / Оборудования,эст. 79/3 ст. 66 износ веревки,resolved
KRG-00071,2025-03-15,unsafe_condition,Небезопасное условие,org_007,"ТОО ""Нежная Фиалка""",Проскальзывание / Спотыкание / Падение,"наледь на дорожках. Проскальзывание, падения, ушиб.",resolved
KRG-00072,2025-03-16,unsafe_condition,Опасный фактор,org_008,"ТОО ""Солнечный Подсолнух""",Целостность объекта / Оборудования,Эст. 79/3 ст. 154 износ бруски наливного стояка,resolved
KRG-00073,2025-03-13,safe_practice,Хорошая практика,org_009,"ТОО ""Весенний Пион""",Выполнение требований инструкций,Наледь на пешеходных дорожках,not_applicable
KRG-00074,2025-05-09,safe_practice,Хорошая практика,org_010,"ТОО ""Горная Эдельвейс""",Электрооборудование,Соблюдал правила ТБ,not_applicable
KRG-00075,2025-04-23,unsafe_condition,Опасный фактор,org_011,"ТОО ""Дикая Ромашка""",Электрооборудование,Сделали монтаж заземление электро оборудование,resolved
KRG-00076,2025-05-29,safe_practice,Хорошая практика,org_012,"ТОО ""Серебряный Лотос""",Поддержание чистоты и порядка,КК-20 кранның астында ағаш қалдықтары шашылып жатыр,not_applicable
KRG-00077,2025-02-18,safe_practice,Хорошая практика,org_013,"ТОО ""Ясный Василёк""",Знаки безопасности / Предупредительные таблички,МЕРА-1 қоңдырғының өндірістік бөлімінде жарық шамын жаңарту керек.,not_applicable
KRG-00078,2025-10-28,unsafe_condition,Небезопасное поведение,org_014,"ТОО ""Алая Гвоздика""",Поддержание чистоты и порядка,Мердігер мекеменің жұмысшысы бекітілмеген жерде темекі шегуі.,resolved
KRG-00079,2025-11-05,unsafe_condition,Небезопасное действие,org_015,"ТОО ""Сакура Плюс""",Выполнение требований инструкций,"Работники подрядной организации передвигаясь по территории ТОО ""ПКОП"", на велосипеде, проезжали  по проезжей части дороги, а не по велосипедной дорожке.",resolved
KRG-00080,2025-11-05,unsafe_condition,Небезопасное действие,org_016,"ТОО ""Южная Магнолия""",Знаки безопасности / Предупредительные таблички,"Работник подрядной организации при выполнении работ повышенной опасности (огневые работы), использовал сотовое устройство.",resolved
KRG-00081,2025-11-05,safe_practice,Хорошая практика,org_017,"ТОО ""Таёжный Жасмин""",Целостность объекта / Оборудования,предложение нет,not_applicable
KRG-00082,2025-10-06,unsafe_condition,Небезопасное поведение,org_018,"ТОО ""Полевая Незабудка""",Земляные работы,Скв жанында оператор қорғаныш каскасын жәнеде қорғаныш көзілдіріксіз жүрді.,resolved
KRG-00083,2025-10-30,unsafe_condition,Небезопасное условие,org_019,"ТОО ""Янтарная Хризантема""",Проскальзывание / Спотыкание / Падение,В районе щелочной насосной открыт колодец.,resolved
KRG-00084,2025-11-06,unsafe_condition,Опасный случай,org_020,"ТОО ""Тихая Камелия""",Охрана окружающей среды,"Жөндеу алаңында Хундай. унв. 614 /12 двигателін түсіру кезінде майын төкпеген.
Двигатель майын ағызып алып түсіруді ескерттім. Қоршаған ортаны ластауы мүмкін.",resolved
KRG-00085,2025-04-14,unsafe_condition,Небезопасное действие,org_021,"ТОО ""Ночная Лаванда""",Электрооборудование,Қауіпсіздік сақтау.,resolved
KRG-00086,2025-05-09,unsafe_condition,Небезопасное условие,org_022,"ТОО ""Лесной Ландыш""",Поддержание чистоты и порядка,Посторонние предметы будке автокрана,resolved
KRG-00087,2025-02-14,safe_practice,Хорошая практика,org_023,"ТОО ""Звёздный Амариллис""",Охрана окружающей среды,№2 НБ-125 сорабының грандбуксасындагы сұйықтық ағып жатыр,not_applicable
KRG-00088,2025-05-05,safe_practice,Хорошая практика,org_024,"ТОО ""Каспийский Тюльпан""",Знаки безопасности / Предупредительные таблички,Мне понравилось как водитель АЦН компании НТК соблюдал все требование техники безопасности  ограждая место работы сигналной лентой и выставляя запрещающий и предупреждающие знаки во время работы при откачки ГЖС,not_applicable
KRG-00089,2025-06-09,safe_practice,Хорошая практика,org_025,"ТОО ""Степная Роза""",Охрана окружающей среды,В летнее время в пожароопасный период нужно проводить опахивание периметра,not_applicable
KRG-00090,2025-08-11,safe_practice,Предложение (инициатива),org_026,"ТОО ""Голубая Гортензия""",Рабочее место / Эргономика,Замечаний нет.Условия по Тб соблюдается.,not_applicable
KRG-00091,2025-04-22,safe_practice,Предложение (инициатива),org_027,"ТОО ""Рубиновый Мак""",Перемещение грузов вручную,"БӨАжА аспаптарын жөндеу, тексеру, сақтау кезінде арнайы қоймаларда ұстау",not_applicable
KRG-00092,2025-04-07,unsafe_condition,Небезопасное условие,org_028,"ТОО ""Северный Нарцисс""",Санитарно-бытовые помещения,Навести порядок влажную уборку на посту №2,resolved
KRG-00093,2025-03-11,safe_practice,Хорошая практика,org_029,"ТОО ""Имперская Орхидея""",Охрана окружающей среды,"ВУВЭ қондырғысының сораптар айналасы лас, УВЭ реагенті төгілген",not_applicable
KRG-00094,2025-05-08,unsafe_condition,Небезопасное условие,org_030,"ТОО ""Весенний Крокус""",Работы на высоте / Строительные леса,При погрузочных работ работник ни имел рукавицы,resolved
KRG-00095,2025-04-16,unsafe_condition,Опасный фактор,org_031,"ТОО ""Изумрудный Папоротник""",Трубопроводы / Подземные коммуникации,"Сүзгіштің асты шіріп тесілген, қысымда тұр",open
KRG-00096,2025-04-18,safe_practice,Хорошая практика,org_032,"ТОО ""Белоснежная Азалия""",Охрана окружающей среды,Хорошо,not_applicable
KRG-00097,2025-03-21,safe_practice,Предложение (инициатива),org_033,"ТОО ""Алтын Бәйшешек""",Работы на высоте / Строительные леса,МГӨК 11 Кормасс қа тельфер қажет,not_applicable
KRG-00098,2025-05-28,unsafe_condition,Опасный фактор,org_034,"ТОО ""Көктем Гүлі""",Проскальзывание / Спотыкание / Падение,МҚ-ның ТБ едендері бекітілмеген құлап жарақат алу факторы,open
KRG-00099,2025-06-05,safe_practice,Хорошая практика,org_035,"ТОО ""Жемчужная Фрезия""",Поддержание чистоты и порядка,Предложение нет,not_applicable
KRG-00100,2025-06-03,unsafe_condition,Небезопасное действие,org_036,"ТОО ""Лазурный Дельфиниум""",СИЗ / Средства по обеспечению безопасности,"Практиканттар объектілерде, жұмыс үйрену барысында бастарына каска кимейді",resolved
KRG-00101,2025-05-10,unsafe_condition,Небезопасное поведение,org_037,"ТОО ""Розовый Флокс""",СИЗ / Средства по обеспечению безопасности,Оператор выполнял работы без рукавицы.,open
KRG-00102,2025-04-17,unsafe_condition,Опасный фактор,org_038,"ТОО ""Сафлоровый Рассвет""",Трубопроводы / Подземные коммуникации,Құбыр желісі жоғарғы қысымда тұрғандықтан кез келген уақытта адам өміріне қауіп төндіруі мүмкін,open
KRG-00103,2025-06-25,unsafe_condition,Небезопасное условие,org_039,"ТОО ""Медовая Астра""",Проскальзывание / Спотыкание / Падение,"При проведении инспекции ОЗПВ было замечено что, один из элементов защитной решетки технологического лотка, значительно возвышается от нормального состояния, ввиду неправильной установки. Возможно спотыкание рабочего персонала об выпирающий элемент решетки.",resolved
KRG-00104,2025-04-18,unsafe_condition,Небезопасное поведение,org_040,"ТОО ""Тайный Бутон""",Вождение,Водитель при плохом погодном условий перед пропускном посту остановился и включил авариный сигнал.,open
KRG-00105,2025-04-15,unsafe_condition,Опасный фактор,org_041,"ТОО ""Цветущий Миндаль""",Электрооборудование,4901J қасында грифон суын айдап тұрған ЦНС насостың жер бетімен жалғанған уақытша кабелі жерді жатыр. Астына подставка  көтеру есебінде трехношка қойылмаған.,resolved
KRG-00106,2025-06-02,unsafe_condition,Небезопасное поведение,org_042,"ТОО ""Полевой Клевер""",Выполнение требований инструкций,"При проверке отсутствовал удостоверения по проверке знании знаний, правил, норм и инструкций по безопасности и охране труда",resolved
KRG-00107,2025-04-10,unsafe_condition,Опасный фактор,org_043,"ТОО ""Огненная Георгина""",Земляные работы,"ШСС-1, БГ-2 айналасы қазылып жатыр сол жерлерді көміп тегістеп болмаса сақтандыру тақтайшаларын қою керек",open
KRG-00108,2025-05-10,unsafe_condition,Небезопасное действие,org_044,"ТОО ""Сияющая Примула""",Охрана окружающей среды,Смонтированый шкаф ШУЭО не заземлен. При отсутствие заземляющих систем создается опасность порожения током от прикосновения к шкафу.,resolved
KRG-00109,2025-04-10,safe_practice,Хорошая практика,org_045,"ТОО ""Гармония Лилий""",Электрооборудование,ТҚ-54 оптимасс аспабын техникалық қызмет көрсету және калибрлеу кезінде мұнай қалдықтары төгілді.,not_applicable
KRG-00110,2025-03-27,safe_practice,Хорошая практика,org_046,"ТОО ""Шёлковый Пион""",Аварийное реагирование / Готовность к ЧС,"МЕРА, ОЗНА қондырғысында дәрі-дәрмек қобдишасының сақтау мерзімі өтіп кеткен",not_applicable
KRG-00111,2025-06-10,safe_practice,Хорошая практика,org_047,"ТОО ""Японская Сакура""",Целостность объекта / Оборудования,Провел наблюдение по обьекту АО “ КазТрансОйл” БПО. При наблюдение нарушении не было,not_applicable
KRG-00112,2025-05-21,unsafe_condition,Небезопасное условие,org_048,"ТОО ""Лунная Орхидея""",Работы на высоте / Строительные леса,Қауіпсіздік сақтау!,resolved
KRG-00113,2025-07-15,safe_practice,Хорошая практика,org_049,"ТОО ""Садовый Гиацинт""",Поддержание чистоты и порядка,Техника жөндеу ямасы май төгілген,not_applicable
KRG-00114,2025-05-09,unsafe_condition,Небезопасное действие,org_050,"ТОО ""Белый Лотос KZ""",Поддержание чистоты и порядка,Использование нечистого полипропиленового материала на скважине,resolved
KRG-00115,2025-04-16,safe_practice,Предложение (инициатива),org_051,"ТОО ""Ароматный Мирт""",Перемещение грузов вручную,МҚ-83д мөлшер қондырғысына апаратын арнайы жол жоқ. Бұл жағдай жұмыс барысына кері әсерін және қауіпсіз қозғалысқа кері әсерін тигізеді.,not_applicable
KRG-00116,2025-04-16,safe_practice,Хорошая практика,org_052,"ТОО ""Цветочный Бриз""",Электрооборудование,ВУВЭ қондырғысының 5-дана жарық шамы жанбайды,not_applicable
KRG-00117,2025-04-08,unsafe_condition,Небезопасное условие,org_053,"ТОО ""Небесная Камелия""",Электрооборудование,Произвести замену ламп на посту №1,resolved
KRG-00118,2025-05-13,unsafe_condition,Небезопасное условие,org_054,"ТОО ""Степной Шалфей""",Аварийное реагирование / Готовность к ЧС,"На участке технического снабжения НГДУ Кульсары промзона ,  на флюгере не заменен ""носок"".",open
KRG-00119,2025-06-26,unsafe_condition,Опасный фактор,org_055,"ТОО ""Грация Гортензии""",Вождение,Поездка от базы ПЭС-2 до ПС-35/6кВ БКНС-1,open
KRG-00120,2025-05-10,unsafe_condition,Небезопасное поведение,org_056,"ТОО ""Пудровая Роза""",СИЗ / Средства по обеспечению безопасности,"При наблюдении подрядной организации, работник не применял защитные очки",resolved
KRG-00121,2025-04-26,unsafe_condition,Опасный фактор,org_057,"ТОО ""Золотой Подсолнух""",Взрыво- и пожароопасность,ТҚ шеберіне ескертілді,open
KRG-00122,2025-03-02,safe_practice,Хорошая практика,org_058,"ТОО ""Кристальный Ирис""",Наряд-допуск / Оценка риска,Снегоуборочные работы,not_applicable
KRG-00123,2025-04-20,unsafe_condition,Небезопасное действие,org_059,"ТОО ""Лепесток Удачи""",Рабочее место / Эргономика,Дәнекерлеу цехында жұмыс жасайтын орынның тазалығы.,resolved
KRG-00124,2025-04-20,safe_practice,Хорошая практика,org_060,"ТОО ""Рассветная Лаванда""",Выполнение требований инструкций,Регулировка форсунок печи П-601/2.,not_applicable
KRG-00125,2025-04-28,safe_practice,Хорошая практика,org_061,"ТОО ""Цветущий Олеандр""",Электрооборудование,КСӘДҚ – сы бойынша жүк көтеру механизмның (электро тельфер) пульті жасамайды,not_applicable
KRG-00126,2025-05-10,safe_practice,Хорошая практика,org_062,"ТОО ""Весенний Букет""",Монтажные и грузоподъемные работы,Работо продится по наряду без нарушений,not_applicable
KRG-00127,2025-05-10,unsafe_condition,Небезопасное действие,org_063,"ТОО ""Флора Капитал""",Земляные работы,При провидении земляных работ  не ограждено сигнальной лентой.,resolved
KRG-00128,2025-04-21,unsafe_condition,Небезопасное действие,org_064,"ТОО ""Бархатный Тюльпан""",Монтажные и грузоподъемные работы,"Жұмыс қауіпсіздігін бақылау барысында аңғарылғаны, жүк көтергіш кранмен жұмыс жасау кезінде жүк ілуші жүкті ережеге сай ілмегені байқалды.",resolved
KRG-00129,2025-04-22,unsafe_condition,Небезопасное условие,org_001,"ТОО ""Алый Тюльпан""",СИЗ / Средства по обеспечению безопасности,Жүк жеткізуші қорғаныс дулығасын кимеген,resolved
KRG-00130,2025-04-22,unsafe_condition,Небезопасное условие,org_002,"ТОО ""Белая Роза""",СИЗ / Средства по обеспечению безопасности,Жүк жеткізуші қорғаныс дулығасын кимеген,resolved
